question_id,db_id,difficulty,question_type,signals
0,california_schools,simple,retrieval,no_aggregate_keywords
1,california_schools,moderate,retrieval,no_aggregate_keywords
2,california_schools,simple,retrieval,no_aggregate_keywords
3,california_schools,simple,retrieval,no_aggregate_keywords
4,california_schools,moderate,retrieval,no_aggregate_keywords
5,california_schools,simple,aggregate,aggregate_function:COUNT
6,california_schools,simple,retrieval,no_aggregate_keywords
7,california_schools,simple,retrieval,no_aggregate_keywords
8,california_schools,simple,retrieval,no_aggregate_keywords
9,california_schools,simple,aggregate,aggregate_function:COUNT
10,california_schools,simple,retrieval,no_aggregate_keywords
11,california_schools,simple,retrieval,no_aggregate_keywords
12,california_schools,moderate,aggregate,aggregate_function:MAX
13,california_schools,simple,retrieval,no_aggregate_keywords
14,california_schools,simple,retrieval,no_aggregate_keywords
15,california_schools,simple,retrieval,no_aggregate_keywords
16,california_schools,simple,aggregate,aggregate_function:COUNT
17,california_schools,simple,retrieval,no_aggregate_keywords
18,california_schools,simple,aggregate,aggregate_function:COUNT
19,california_schools,simple,retrieval,no_aggregate_keywords
20,california_schools,simple,aggregate,aggregate_function:COUNT
21,california_schools,simple,aggregate,aggregate_function:COUNT
22,california_schools,simple,retrieval,no_aggregate_keywords
23,california_schools,moderate,retrieval,no_aggregate_keywords
24,california_schools,moderate,retrieval,no_aggregate_keywords
25,california_schools,moderate,aggregate,aggregate_function:SUM|group_by|having
26,california_schools,moderate,retrieval,no_aggregate_keywords
27,california_schools,moderate,retrieval,no_aggregate_keywords
28,california_schools,challenging,aggregate,aggregate_function:AVG
29,california_schools,simple,retrieval,no_aggregate_keywords
30,california_schools,simple,aggregate,aggregate_function:SUM|group_by
31,california_schools,moderate,retrieval,no_aggregate_keywords
32,california_schools,moderate,retrieval,no_aggregate_keywords
33,california_schools,moderate,retrieval,no_aggregate_keywords
34,california_schools,moderate,retrieval,no_aggregate_keywords
35,california_schools,moderate,retrieval,no_aggregate_keywords
36,california_schools,challenging,retrieval,no_aggregate_keywords
37,california_schools,moderate,retrieval,no_aggregate_keywords
38,california_schools,simple,retrieval,no_aggregate_keywords
39,california_schools,simple,aggregate,aggregate_function:AVG
40,california_schools,moderate,retrieval,no_aggregate_keywords
41,california_schools,simple,retrieval,no_aggregate_keywords
42,california_schools,simple,retrieval,no_aggregate_keywords
43,california_schools,moderate,retrieval,no_aggregate_keywords
44,california_schools,simple,retrieval,no_aggregate_keywords
45,california_schools,moderate,retrieval,no_aggregate_keywords
46,california_schools,simple,retrieval,no_aggregate_keywords
47,california_schools,moderate,aggregate,aggregate_function:COUNT
48,california_schools,moderate,aggregate,aggregate_function:SUM
49,california_schools,moderate,aggregate,aggregate_function:COUNT|group_by
50,california_schools,simple,retrieval,no_aggregate_keywords
51,california_schools,simple,retrieval,no_aggregate_keywords
52,california_schools,simple,aggregate,aggregate_function:COUNT
53,california_schools,simple,retrieval,no_aggregate_keywords
54,california_schools,simple,retrieval,no_aggregate_keywords
55,california_schools,moderate,aggregate,aggregate_function:SUM
56,california_schools,simple,aggregate,aggregate_function:COUNT
57,california_schools,simple,retrieval,no_aggregate_keywords
